PlayerId,Name,Team,Level,Season,wRC+
1,Alfredo Amezaga,Dodgers,AAA,2013,135.9769629
1,Alfredo Amezaga,Cubs,AAA,2012,84.98135131
1,Alfredo Amezaga,Marlins,A+,2009,143.7457004
1,Alfredo Amezaga,Rockies,AAA,2011,109.133525
10,David Eckstein,Blue Jays,A+,2008,57.05434143
10,David Eckstein,Padres,A,2010,175.7324068
10021,Mike Minor,Braves,AA,2010,-100
10028,Christian Bethancourt,Braves,R,2009,125.4528574
10028,Christian Bethancourt,Braves,AA,2012,55.68010024
10028,Christian Bethancourt,Braves,AA,2013,111.6806725
10028,Christian Bethancourt,Braves,AAA,2014,93.90673606
10028,Christian Bethancourt,Braves,AAA,2015,140.2370273
10028,Christian Bethancourt,Braves,A,2010,70.18777984
10028,Christian Bethancourt,Braves,A,2011,103.0190993
10028,Christian Bethancourt,Braves,R,2009,130.1584627
10028,Christian Bethancourt,Braves,A+,2011,66.9377837
10028,Christian Bethancourt,Brewers,AAA,2018,112.9123694
10028,Christian Bethancourt,Braves,R,2008,103.7261888
10028,Christian Bethancourt,Padres,AAA,2017,92.61766134
1003,Tike Redman,Brewers,AAA,2009,67.33009783
1003,Tike Redman,Orioles,AAA,2007,119.3133738
1003,Tike Redman,Orioles,AAA,2008,102.9843302
10030,Chris Owings,Diamondbacks,AA,2012,84.33664456
10030,Chris Owings,Diamondbacks,A+,2011,64.25780655
10030,Chris Owings,Diamondbacks,A+,2012,131.1153117
10030,Chris Owings,Diamondbacks,R,2009,95.73418834
10030,Chris Owings,Red Sox,AAA,2019,145.4689187
10030,Chris Owings,Diamondbacks,A,2010,109.5746208
10030,Chris Owings,Diamondbacks,R,2014,266.0551706
10030,Chris Owings,Diamondbacks,AAA,2013,121.1754273
10030,Chris Owings,Diamondbacks,AAA,2014,30.60289954
10030,Chris Owings,Diamondbacks,AAA,2016,328.8740888
10030,Chris Owings,Diamondbacks,AAA,2018,78.71567725
10039,Keyvius Sampson,Padres,AA,2012,-100
10039,Keyvius Sampson,Padres,AAA,2013,-14.82567008
10039,Keyvius Sampson,Diamondbacks,AAA,2017,27.76110856
10039,Keyvius Sampson,Reds,AA,2015,-31.78358734
10039,Keyvius Sampson,Padres,AAA,2014,-47.43677356
1004,Pokey Reese,Nationals,AAA,2008,12.18723659
